Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,2,female,48.276703300160605,3,1,9.17,S
0,3,male,30.294053782858626,0,0,5.52,S
1,3,male,39.54734159812949,2,0,50.59,S
1,3,female,25.656265407691613,1,1,61.29,C
0,1,male,34.53832893483819,1,1,1.6,S
1,1,male,28.177997238852416,0,1,137.61,S
1,1,male,31.357943509898053,0,0,2.67,S
0,3,female,38.33219835611679,0,0,38.97,S
0,3,male,18.544910434731385,0,0,61.73,S
0,3,male,59.29342185959644,0,2,102.39,S
0,1,male,15.915756659004172,1,1,62.6,S
0,3,female,13.001359420971749,1,0,80.91,S
1,3,female,46.21355222900095,0,0,20.73,S
1,2,male,41.0832777154811,0,1,84.32,C
1,1,female,38.737677438730174,0,1,4.18,C
1,1,male,38.79683712969992,0,3,112.6,S
1,2,male,29.828545180143195,0,2,39.66,Q
0,3,female,17.43843879919836,0,1,84.99,S
1,2,female,31.06126381471217,1,0,30.1,S
0,2,female,20.519736038830438,1,0,51.58,S
0,3,female,43.651676267848515,1,0,37.37,S
0,1,male,27.941196658970057,1,0,65.76,C
1,2,male,18.44303924490484,0,1,4.26,S
0,2,male,25.50059821685809,0,1,3.11,Q
0,3,male,35.78104035985874,3,0,14.19,S
0,3,male,22.107856260744356,2,0,8.69,Q
1,1,female,18.48891446206996,0,1,102.7,S
0,3,male,33.41162096088677,1,0,12.37,S
1,3,female,33.42953199552212,1,1,186.21,S
1,1,male,22.902795544804185,1,0,20.54,S
0,3,female,23.40546372134348,0,0,10.05,S
0,1,male,33.24869912300691,0,1,77.96,S
0,1,male,9.726819219037463,1,1,53.75,C
0,3,male,10.295507158728228,0,3,34.48,S
0,3,male,19.941780902465894,0,1,40.52,S
1,3,female,27.011739876034138,1,0,63.51,S
0,2,male,34.35270591837207,1,0,12.97,S
1,1,male,50.65498703729373,0,2,280.43,S
0,3,female,42.00723472482827,0,0,184.03,S
1,2,male,27.76086058051202,0,0,52.54,S
1,1,female,29.733773089362355,1,1,11.13,S
0,3,female,15.964588895070676,0,0,57.01,S
1,1,female,29.740816096106542,1,0,3.75,S
0,3,male,25.958779055118065,0,0,1.56,S
1,2,male,34.51805984473325,2,0,14.9,S
1,3,female,18.418766790267476,2,0,31.05,S
1,2,male,37.27085119937641,0,0,101.35,S
0,3,female,51.458344782036086,1,0,64.95,S
0,3,female,28.477357921603993,0,1,67.88,Q
1,1,female,35.623964109385184,2,0,27.71,S
0,3,male,39.662015883955576,0,1,21.23,C
0,3,male,24.382913393598294,0,2,23.18,S
1,3,female,33.137294745345834,1,0,219.7,S
0,3,male,30.176293610945127,1,2,2.05,S
0,3,male,31.367465379683644,1,0,100.88,Q
0,3,male,19.17786302602347,1,0,43.22,S
1,1,female,30.343142439625197,1,1,28.87,C
1,1,female,36.971976077436295,0,1,64.6,C
0,1,male,50.316010509130585,1,0,33.34,S
1,2,male,43.4297915651929,0,0,103.35,S
1,2,male,60.144554405161784,1,0,115.48,S
1,2,female,19.257134119567308,1,0,27.38,S
0,3,male,42.21248891408949,0,0,16.21,C
1,2,male,32.56678808033693,0,0,44.87,Q
1,2,female,60.657241065047415,0,1,121.73,S
1,3,female,18.68382400502788,0,0,11.83,S
1,1,female,18.243894209469133,1,4,48.77,C
0,3,female,21.60850296378369,0,0,49.92,S
1,1,male,0.42,0,1,66.05,C
0,3,male,22.639429696469346,1,0,7.05,S
1,3,female,19.37214273824823,1,1,62.91,S
1,1,female,32.105513010666904,1,0,119.86,S
1,1,female,34.78458366088023,2,0,9.9,S
0,3,female,56.266391749022404,2,0,13.56,S
0,3,male,43.30593373460471,0,0,177.71,S
1,3,male,21.923348820726357,1,0,9.98,S
1,3,female,17.42219460112299,0,1,96.34,C
0,1,female,36.88686840109108,3,0,33.89,C
0,2,female,11.51673510171101,0,3,14.2,S
1,1,female,55.64042272196095,2,0,102.3,S
1,3,female,46.51216169009802,2,0,29.47,S
0,3,male,23.431540870534132,1,0,36.16,S
0,2,male,6.016116592727716,0,0,22.25,S
0,1,male,48.95421323831578,0,0,44.94,S
0,2,male,28.39644216646335,1,0,8.93,S
1,2,male,47.329428367628466,0,1,24.8,S
0,3,male,7.678012776878859,0,0,174.36,S
0,3,male,21.60874967864718,0,0,14.93,S
0,3,male,30.073411796054565,1,1,53.46,Q
1,3,male,30.65772831270639,0,1,19.67,S
0,1,male,23.69908339929059,1,0,74.24,S
0,3,male,38.71989905286498,0,0,7.01,S
0,3,female,15.053313988643678,0,1,175.03,S
0,3,male,28.00668720970189,0,1,30.24,S
0,3,male,31.684138843966583,0,0,13.46,S
0,3,male,37.20214367682249,0,2,3.82,Q
1,3,female,39.96260829324446,0,2,9.3,S
1,2,male,14.255010714269831,1,1,36.67,S
1,1,male,8.522401609701287,1,1,20.55,C
1,1,male,47.88747550657912,0,1,88.27,S
0,1,male,34.652396167714286,1,2,28.18,S
0,3,male,19.52118848820825,1,1,14.3,S
0,2,male,51.716127657315326,0,0,48.0,S
0,3,male,31.619444880100023,0,1,61.34,C
1,3,female,46.51016057689357,1,2,9.14,S
0,2,female,30.945258739741526,1,0,9.17,S
0,2,male,58.85047094834782,1,0,1.87,S
0,3,male,54.574771794204864,1,0,66.67,S
1,2,female,26.514501921292972,0,1,54.5,S
0,1,male,43.60199331336098,0,0,32.18,S
1,2,male,39.03526329419206,0,0,92.95,S
1,1,male,49.16084180545288,1,0,81.91,C
0,3,male,16.491071551878537,1,1,44.02,S
0,3,female,39.60472043997815,0,1,101.35,S
1,3,female,44.81794281589423,0,1,11.52,C
1,3,female,5.377647190076399,0,0,5.93,S
0,3,male,13.434380822679149,1,1,15.72,S
1,1,male,1.450749511358591,0,1,2.94,S
0,3,male,26.228304317776193,2,0,37.88,S
1,3,male,40.04559158114347,0,0,137.92,S
0,3,male,51.03299872934439,1,1,2.01,Q
1,3,female,31.037326925876854,0,0,6.51,S
1,2,female,52.80061763799809,0,0,30.09,S
1,1,male,10.678579584991521,1,0,135.81,C
1,2,female,6.152645849027834,0,0,19.0,S
1,2,female,29.222332215447338,0,3,35.39,S
0,3,male,35.3769162851503,0,0,2.12,S
1,3,male,29.542273526682695,1,1,8.03,Q
0,1,male,1.0558105994417275,0,0,215.74,S
0,3,male,28.752319446820962,1,0,167.79,S
0,2,male,11.737426992932054,1,0,0.25,S
0,2,female,39.37541568362054,0,1,151.63,S
0,1,male,35.132375445355876,0,0,50.96,S
0,2,male,16.841682991417027,2,0,101.22,S
1,3,male,22.80586315728629,0,1,30.32,C
1,2,male,15.171010693554678,1,0,36.24,S
1,3,female,29.122492638175594,0,0,33.55,S
1,3,female,43.37199248701734,1,1,54.96,C
1,2,male,16.19983535130239,0,0,7.52,Q
0,3,male,37.05665121724982,0,0,1.52,S
0,3,male,22.576393342785828,0,1,18.4,S
0,2,male,18.899780348327184,0,0,60.98,S
1,3,male,28.50157496063619,1,1,11.27,Q
0,2,male,15.506607486128763,2,0,55.96,Q
0,2,male,22.248909725139452,0,1,175.18,S
1,1,male,13.229709503756123,0,0,4.93,C
0,3,male,57.50615186082945,1,0,55.83,S
0,3,male,30.4936897276042,1,0,29.33,S
0,1,male,20.2038428881038,1,1,101.3,S
0,2,male,32.99571875027911,0,1,9.75,C
0,3,male,28.427407304328383,2,0,58.98,S
1,2,female,26.906425606534878,1,0,91.04,C
0,1,female,38.59833380060795,2,0,144.67,C
0,3,male,40.60510794066227,0,0,57.48,S
0,3,male,22.572983933452615,0,1,34.38,S
0,2,female,21.93854463097448,0,1,48.1,S
1,3,male,26.149276239876983,1,2,101.59,S
1,3,male,0.42,0,1,42.27,S
0,2,female,8.787325129220267,2,0,1.54,S
0,3,male,49.136239744223346,0,0,133.65,Q
1,2,male,53.02954798901797,0,0,58.48,S
0,3,female,26.513495446210705,0,1,56.43,S
1,3,male,38.07179748278073,1,1,12.15,S
0,3,male,34.3575021636095,1,0,53.78,S
1,1,female,73.10433131837333,1,0,25.03,S
0,3,male,45.67404876008408,1,1,52.67,S
1,2,female,28.209153719269267,0,0,5.64,Q
1,1,female,16.622433831594037,0,0,53.62,S
0,1,male,7.509751516393983,2,0,372.09,Q
1,3,male,32.84849090214112,1,0,2.47,C
0,3,male,19.411089566019754,0,0,188.99,S
1,1,male,10.088448065632562,1,1,26.12,Q
0,3,male,20.947979620604627,0,0,102.3,S
0,2,female,14.85832794939847,0,0,76.25,C
1,3,male,53.61998289101591,0,0,41.85,S
1,1,male,42.34295659729231,0,0,67.06,C
0,3,female,29.888383021567357,1,0,105.4,C
1,2,male,50.71921794446036,1,0,25.89,C
1,3,female,31.083156307066655,0,0,19.8,C
1,1,male,17.942021181404307,0,1,55.07,S
1,2,male,51.32373708177521,0,1,82.47,S
1,1,female,37.54474061158522,1,0,71.83,S
0,3,male,15.47855383942961,1,0,79.93,S
1,3,female,27.335258506829486,2,0,28.6,S
1,2,female,17.741344452613397,0,1,85.14,S
1,3,female,10.640803766499296,0,0,6.4,Q
0,3,male,42.96648566544298,0,0,39.32,S
1,3,male,56.73183296658183,1,1,0.29,C
0,3,female,10.420053966532024,0,0,19.62,S
1,2,female,37.881569313667995,1,0,22.82,C
1,1,female,20.891004032294422,1,0,25.22,Q
0,3,male,23.180244627294257,0,0,59.45,S
0,3,male,21.70648506065583,1,0,24.6,S
1,3,female,17.904129224482574,1,0,29.77,C
0,2,male,30.679302791227578,0,0,13.56,S
1,2,female,18.366698370245473,2,0,23.36,S
1,3,female,33.78639556091775,0,0,12.89,S
0,3,male,29.296666467712082,1,0,3.8,S
